"ID","Player","Team","Position","RkOv","Status","Age","Opponent","FPts","FP/G","%D","ADP","Ros","+/-","FGM","FGA","3PTM","FTM","FTA","PTS","REB","AST","ST","BLK","TO","3D","2D"
"*027oj*","Kyrie Irving","DAL","PG,SG,G,Flx","66","BBB","31","@POR Sat 6:00PM","711","41.82","100%","21.21","99%","-0.1%","8.6","18.2","2.5","3.3","3.6","23.0","3.9","5.2","1.2","0.3","1.4","0.0","2"
"*05uj9*","Herbert Jones","NO","SF,PF,F,Flx","67","BIGFOOTS","25","","711","30.91","87%","135.54","94%","0%","4.0","8.0","1.1","2.6","3.0","11.7","4.4","2.7","1.7","1.2","1.4","0.0","0"
"*01eo9*","Jrue Holiday","BOS","PG,SG,G,Flx","68","maxpat01","33","","708","32.18","100%","51.29","98%","+0.3%","4.7","10.6","1.7","1.1","1.3","12.2","6.6","4.8","0.9","0.9","2.0","0.0","5"
"*027p9*","Reggie Jackson","DEN","PG,G,Flx","69","Jmarr237","33","OKC Sat 6:00PM","706","27.15","1%","1197.61","62%","-0.1%","5.4","11.0","1.8","1.1","1.5","13.6","2.2","4.6","0.7","0.3","1.6","0.0","1"
"*03ad0*","Tyus Jones","WAS","PG,G,Flx","70","SERP","27","","705","29.38","98%","89.64","90%","+0.4%","4.8","9.3","1.1","0.5","0.7","11.2","3.0","5.1","1.0","0.3","0.8","0.0","1"
"*05qto*","LaMelo Ball","CHA","PG,SG,G,Flx","71","GBRAYERS","22","PHI Sat 4:00PM","702","46.8","100%","12.95","100%","0%","8.8","19.9","3.5","3.6","4.2","24.7","5.5","8.2","1.4","0.3","3.9","0.1","5"
"*051ol*","Darius Garland","CLE","PG,G,Flx","72","VSL","23","ATL Sat 4:30PM","699","34.95","100%","33.75","100%","+0.1%","7.5","16.1","1.8","3.8","4.5","20.7","2.8","5.9","1.6","0.2","3.8","0.0","0"
"*0015e*","Mike Conley","MIN","PG,G,Flx","73","maxpat01","36","IND Sat 5:00PM","696","30.26","90%","128.73","90%","+1.5%","3.9","8.6","2.3","1.5","1.6","11.5","3.0","6.0","1.0","0.1","1.0","0.0","2"
"*06ccf*","Ausar Thompson","DET","SF,F,Flx","74","SERP","20","@MIL Sat 3:00PM","694","27.76","93%","120.33","97%","0%","4.4","9.3","0.3","1.4","2.1","10.4","8.2","2.4","0.9","1.2","1.8","0.0","2"
"*01uz7*","Gordon Hayward","CHA","SG,G,SF,F,Flx","75","Jmarr237","33","PHI Sat 4:00PM","692","31.45","66%","153.47","91%","-0.2%","5.9","12.6","1.0","2.5","3.3","15.2","4.9","4.7","1.2","0.5","2.0","0.0","0"
"*06216*","Shaedon Sharpe","POR","SG,G,SF,F,Flx","76","SERP","20","DAL Sat 6:00PM","690","30","94%","117.02","99%","+0.2%","6.2","15.0","2.2","3.5","4.3","18.1","5.7","3.6","1.0","0.4","2.7","0.0","1"
"*04qsm*","De'Anthony Melton","PHI","PG,SG,G,Flx","77","maxpat01","25","@CHA Sat 4:00PM","684","28.5","88%","127.47","93%","+0.3%","4.0","10.3","2.2","2.1","2.6","12.4","4.1","3.6","1.5","0.5","1.3","0.0","0"
"*042nt*","Ivica Zubac","LAC","C,Flx","78","GBRAYERS","26","NY Sat 7:30PM","676","28.17","92%","123.18","95%","+1.2%","5.2","8.3","0.0","1.6","2.7","11.9","9.0","1.0","0.2","1.5","1.3","0.0","6"
"*03el5*","Kristaps Porzingis","BOS","PF,F,C,Flx","79","STARKS","28","","673","37.39","100%","36.41","99%","0%","6.4","12.2","1.7","4.7","5.6","19.1","6.6","1.8","0.8","1.6","1.5","0.0","2"
"*04azw*","Lauri Markkanen","UTA","SF,PF,F,Flx","80","STARKS","26","@SAC Sat 7:00PM","670","41.88","100%","28.13","100%","0%","8.1","16.6","3.3","4.3","5.1","23.7","8.6","1.0","1.1","0.8","1.3","0.0","5"
"*05qtj*","Deni Avdija","WAS","SF,PF,F,Flx","82","GBRAYERS","22","","665","27.71","81%","138.98","90%","+0.5%","4.6","9.1","1.0","1.6","1.9","11.8","5.5","4.0","0.8","0.3","1.5","0.0","0"
"*05qtl*","Cole Anthony","ORL","PG,G,Flx","81","Orcas","23","","665","27.71","46%","161.57","89%","-2.8%","5.0","10.9","1.4","3.8","4.5","15.2","4.3","3.6","0.7","0.5","1.9","0.0","1"
"*005kc*","Russell Westbrook","LAC","PG,G,Flx","83","BBB","35","NY Sat 7:30PM","664","27.67","99%","101.6","96%","-0.8%","4.5","10.2","0.7","1.5","2.4","11.3","6.3","4.8","1.1","0.5","2.4","0.0","4"
"*03al0*","Aaron Gordon","DEN","PF,F,Flx","84","STARKS","28","OKC Sat 6:00PM","663","30.14","98%","109.44","98%","0%","5.5","10.9","0.5","1.5","2.9","12.9","7.1","3.5","1.0","0.7","1.6","0.0","5"
"*051pi*","Daniel Gafford","WAS","PF,F,C,Flx","85","CCC","25","","655","31.19","99%","89.97","95%","+0.1%","4.2","6.1","0.0","1.6","2.4","10.0","7.3","1.8","0.6","2.1","1.1","0.0","3"
"*049kc*","Malik Monk","SAC","SG,G,Flx","86","BIGFOOTS","25","UTA Sat 7:00PM","655","28.48","50%","163.3","87%","-0.4%","4.9","11.1","2.7","2.3","2.6","14.8","2.6","5.0","0.7","0.4","2.4","0.0","1"
"*03nwl*","Terry Rozier","CHA","PG,SG,G,Flx","87","maxpat01","29","PHI Sat 4:00PM","653","46.64","100%","81.9","99%","+0.3%","8.9","18.6","2.9","3.6","4.2","24.4","3.5","7.5","1.2","0.4","2.4","0.0","3"
"*04ewk*","John Collins","UTA","PF,F,Flx","88","BIGFOOTS","26","@SAC Sat 7:00PM","650","29.55","100%","90.43","98%","0%","5.5","11.4","1.4","2.0","2.7","14.5","8.6","0.9","0.6","1.0","1.4","0.0","9"
"*0015b*","Kyle Lowry","MIA","PG,G,Flx","89","GBRAYERS","37","CHI Sat 5:00PM","642","26.75","35%","170.51","66%","-1.8%","3.3","7.2","2.2","1.1","1.3","9.8","4.0","4.1","1.3","0.3","1.4","0.0","1"
"*0017e*","Chris Paul","GS","PG,G,Flx","91","STARKS","38","BKN Sat 5:30PM","638","30.38","99%","87.61","95%","+0.3%","3.2","7.8","1.2","1.4","1.6","9.0","3.6","7.2","1.4","0.0","1.2","0.0","4"
"*06cc8*","Dereck Lively","DAL","C,Flx","90","BIGFOOTS","19","@POR Sat 6:00PM","638","29","52%","153.95","86%","-0.3%","4.3","5.8","0.0","0.8","1.3","9.3","8.0","1.2","0.7","1.6","1.3","0.0","4"
"*06212*","Jabari Smith","HOU","PF,F,Flx","92","SERP","20","","631","28.68","99%","87.42","98%","+0.3%","4.8","10.1","1.6","1.3","1.7","12.5","8.9","1.8","0.6","0.8","1.3","0.0","3"
"*04ewc*","Zach Collins","SA","PF,F,C,Flx","93","SDP","26","","627","26.12","94%","112.54","95%","-1.5%","4.9","10.2","1.1","2.3","2.8","13.1","6.0","3.5","0.6","0.6","2.5","0.0","2"
"*049kd*","Deandre Ayton","POR","C,Flx","94","Jmarr237","25","DAL Sat 6:00PM","623","32.79","100%","59.04","99%","+0.1%","6.0","10.4","0.0","1.0","1.2","13.0","10.7","1.5","1.2","0.7","2.1","0.0","10"
"*0621e*","Mark Williams","CHA","C,Flx","95","VSL","21","PHI Sat 4:00PM","623","32.79","97%","89.31","98%","-0.1%","5.2","7.9","0.0","2.4","3.4","12.7","9.7","1.2","0.8","1.1","0.9","0.0","8"
"*04ewn*","OG Anunoby","TOR","SG,G,SF,F,Flx","96","BBB","26","","617","29.38","100%","55.03","99%","+0.2%","5.9","12.2","2.5","1.2","1.8","15.5","4.2","2.5","1.0","0.6","1.7","0.0","0"
"*05qt0*","Saddiq Bey","ATL","SF,PF,F,Flx","97","CCC","24","@CLE Sat 4:30PM","617","25.71","85%","137.23","88%","+2.1%","4.8","9.9","1.8","1.6","2.0","12.9","6.3","1.4","1.0","0.2","1.1","0.0","3"
"*06cbx*","Jaime Jaquez","MIA","SF,F,Flx","98","GBRAYERS","22","CHI Sat 5:00PM","615","24.6","4%","410.14","73%","-2.3%","5.1","9.9","1.2","1.6","1.9","13.0","3.6","2.8","0.9","0.2","1.6","0.0","0"
"*0621b*","Jalen Williams","OKC","SG,G,SF,PF,F,Flx","99","HBC","22","@DEN Sat 6:00PM","606","30.3","100%","65.03","99%","0%","6.4","12.9","1.1","3.3","3.8","17.1","4.2","3.6","0.8","0.3","1.8","0.0","0"
"*03aq2*","Jerami Grant","POR","PF,F,Flx","100","SDP","29","DAL Sat 6:00PM","605","31.84","100%","73.55","98%","-0.1%","7.3","16.7","2.6","4.9","5.9","22.1","3.8","2.2","0.8","0.9","2.5","0.0","0"
"*04ewm*","Jarrett Allen","CLE","C,Flx","101","Orcas","25","ATL Sat 4:30PM","604","30.2","100%","66.34","99%","0%","5.1","7.7","0.0","2.1","3.1","12.3","8.2","2.4","0.7","0.9","1.8","0.0","4"
"*05uig*","Josh Giddey","OKC","SG,G,SF,PF,F,Flx","102","STARKS","21","@DEN Sat 6:00PM","604","26.26","100%","53.32","99%","+0.2%","5.1","12.0","0.9","0.9","1.2","12.0","6.1","4.4","0.9","0.5","2.6","0.0","2"
"*042n3*","Buddy Hield","IND","SG,G,SF,F,Flx","103","SDP","30","@MIN Sat 5:00PM","603","26.22","99%","97.64","93%","+0.1%","4.9","11.0","2.8","0.5","0.6","13.0","3.2","2.6","0.9","0.7","1.4","0.0","0"
"*042ne*","Malik Beasley","MIL","SG,G,Flx","104","BIGFOOTS","27","DET Sat 3:00PM","601","25.04","13%","305.23","66%","-5.7%","4.3","9.0","3.0","0.3","0.5","12.0","4.4","1.5","1.0","0.2","0.7","0.0","1"
"*05uif*","Jalen Suggs","ORL","PG,SG,G,Flx","105","VSL","22","","600","27.27","41%","167.61","83%","-3.1%","4.3","9.3","1.7","2.1","2.5","12.5","3.5","2.6","1.7","0.6","2.0","0.0","0"
"*03ams*","Zach LaVine","CHI","SG,G,SF,F,Flx","107","SDP","28","@MIA Sat 5:00PM","597","33.17","100%","44.53","98%","-0.2%","7.3","16.6","2.4","3.9","4.6","21.0","4.8","3.4","0.9","0.2","2.0","0.0","0"
"*05qt9*","Killian Hayes","DET","PG,SG,G,Flx","106","HBC","22","@MIL Sat 3:00PM","597","24.88","18%","245.25","65%","-2.7%","3.8","8.8","0.8","1.2","1.7","9.4","3.0","4.4","1.1","0.6","1.1","0.0","0"
"*04s00*","Duncan Robinson","MIA","SG,G,SF,F,Flx","108","SDP","29","CHI Sat 5:00PM","596","25.91","3%","434.98","67%","+1.4%","5.3","11.0","3.1","1.2","1.5","15.0","2.7","2.9","0.5","0.1","1.3","0.0","0"
"*04qsj*","Bruce Brown","IND","PG,SG,G,SF,F,Flx","109","BBB","27","@MIN Sat 5:00PM","590","25.65","95%","113.78","90%","-0.6%","4.4","9.6","1.1","2.0","2.6","12.0","4.6","2.8","1.3","0.2","1.1","0.0","0"
