ID,Player,Team,Position,RkOv,Status,Age,Opponent,FPts,FP/G,%D,ADP,Ros,+/-,FGM,FGA,3PTM,FTM,FTA,PTS,REB,AST,ST,BLK,TO,3D,2D
*042nw*,Malcolm Brogdon,POR,"PG,SG,G,Flx",102,STARKS,30,,493,35.21,84%,139.37,96%,0.5%,6.5,15.6,2.1,3.1,3.9,18.2,4.2,6.4,0.9,0.2,1.9,0.0,3
*005ki*,Brook Lopez,MIL,"C,Flx",41,BBB,35,,700,35,100%,72.69,98%,0.2%,5.0,9.9,1.9,1.5,1.9,13.4,4.9,1.4,0.8,2.8,0.9,0.0,0
*05uib*,Cade Cunningham,DET,"PG,SG,G,Flx",40,SERP,22,,700,35,100%,32.64,100%,0%,8.3,19.9,2.1,3.8,4.2,22.4,3.9,7.3,0.9,0.2,4.3,0.0,3
*042nm*,Pascal Siakam,TOR,"PF,F,C,Flx",44,STARKS,29,,696,34.8,100%,30.25,99%,-0.1%,7.7,16.1,0.8,3.8,5.1,20.0,7.2,5.0,0.8,0.2,2.6,0.0,4
*027p0*,Nikola Vucevic,CHI,"C,Flx",31,BBB,33,,730,34.76,100%,40.1,100%,0%,6.7,14.7,0.9,1.4,1.7,15.6,10.0,3.2,0.9,0.7,1.8,0.0,9
*04qrr*,Michael Porter,DEN,"SF,F,Flx",33,HHBC,25,,722,34.38,99%,93.95,98%,-0.1%,6.7,14.1,2.9,1.1,1.5,17.4,8.0,1.8,0.5,0.8,1.2,0.0,6
*027oo*,Jonas Valanciunas,NO,"C,Flx",34,STARKS,31,,720,34.29,99%,100.19,99%,0.1%,5.5,9.7,0.7,2.3,2.9,14.0,9.0,2.4,0.4,1.3,1.2,0.0,9
*051p9*,Keldon Johnson,SA,"SG,G,SF,F,Flx",59,GBRAYERS,24,,608,33.78,98%,109.44,99%,0%,6.2,13.2,1.9,2.2,3.0,16.6,6.5,4.1,0.8,0.3,1.3,0.0,4
*03e6n*,Jusuf Nurkic,PHO,"C,Flx",47,CCC,29,,675,33.75,98%,107.04,99%,0.1%,4.5,9.5,0.7,2.5,3.4,12.1,9.2,3.9,1.1,1.3,2.2,0.0,6
*0621c*,Jalen Duren,DET,"C,Flx",133,STARKS,20,,438,33.69,97%,100.56,99%,0%,5.5,8.8,0.0,1.2,2.1,12.2,10.9,2.7,0.6,1.4,2.8,0.0,9
*04ewt*,Derrick White,BOS,"PG,SG,G,Flx",84,CCC,29,,538,33.62,99%,87.23,98%,0.2%,4.5,9.6,2.2,3.1,3.6,14.3,3.9,5.1,1.1,0.8,1.8,0.0,1
*0621e*,Mark Williams,CHA,"C,Flx",63,VSL,21,,604,33.56,97%,89.29,99%,0%,5.3,8.2,0.0,2.6,3.6,13.2,10.1,1.2,0.8,1.0,0.9,0.0,8
*05uiu*,Jalen Johnson,ATL,"SF,PF,F,Flx",97,SERP,21,,503,33.53,69%,154.67,93%,-1.5%,5.7,9.5,1.1,1.7,2.2,14.1,7.3,2.4,1.1,1.0,2.0,0.0,3
*031m4*,Dennis Schroder,TOR,"PG,G,Flx",48,HHBC,30,,668,33.4,87%,135.3,97%,0%,5.7,13.0,1.8,2.8,3.2,15.8,3.0,7.0,0.9,0.1,1.8,0.0,4
*049kd*,Deandre Ayton,POR,"C,Flx",64,Jmarr237,25,,601,33.39,100%,59.26,99%,0%,6.0,10.2,0.0,0.9,1.2,12.9,10.8,1.6,1.2,0.7,1.9,0.0,10
*03ams*,Zach LaVine,CHI,"SG,G,SF,F,Flx",65,VSL,28,,597,33.17,100%,44.67,99%,-0.2%,7.3,16.6,2.4,3.9,4.6,21.0,4.8,3.4,0.9,0.2,2.0,0.0,0
*042n4*,Jamal Murray,DEN,"PG,SG,G,Flx",226,CCC,26,,265,33.12,100%,43.69,99%,0%,5.8,13.9,2.1,2.6,3.0,16.3,3.0,7.3,0.3,0.6,2.0,0.0,2
*04qrj*,Jaren Jackson,MEM,"PF,F,C,Flx",57,SDP,24,,629,33.11,100%,41.64,100%,0%,6.6,15.6,1.4,5.1,6.1,19.6,6.2,1.9,0.6,1.8,1.9,0.0,1
*0558t*,Max Strus,CLE,"SG,G,SF,PF,F,Flx",50,CCC,27,,656,32.8,45%,160.56,92%,0%,5.3,11.9,2.9,0.9,1.1,14.3,5.5,4.0,1.0,0.7,1.6,0.0,3
*04ewm*,Jarrett Allen,CLE,"C,Flx",105,Orcas,25,,486,32.4,100%,66.1,99%,0.1%,5.5,8.0,0.0,2.7,3.7,13.8,8.1,2.3,0.5,1.1,1.7,0.0,4
*01eo9*,Jrue Holiday,BOS,"PG,SG,G,Flx",81,maxpat01,33,,545,32.06,100%,51.01,98%,0.1%,4.7,11.1,1.8,1.2,1.5,12.4,7.2,5.2,0.6,0.9,2.2,0.0,5
*051ol*,Darius Garland,CLE,"PG,G,Flx",109,VSL,23,,480,32,100%,33.57,100%,0%,7.0,15.1,1.6,3.7,4.5,19.3,2.7,5.9,1.5,0.3,4.3,0.0,0
*042n6*,Jakob Poeltl,TOR,"C,Flx",53,GBRAYERS,28,,639,31.95,99%,78.73,97%,0.1%,5.3,7.2,0.0,0.8,1.8,11.3,8.5,2.3,0.8,1.1,1.7,0.0,9
*03aq2*,Jerami Grant,POR,"PF,F,Flx",61,HHBC,29,,605,31.84,100%,73.53,99%,0.1%,7.3,16.7,2.6,4.9,5.9,22.1,3.8,2.2,0.8,0.9,2.5,0.0,0
*027p4*,Tobias Harris,PHI,"SF,PF,F,Flx",62,GBRAYERS,31,,605,31.84,99%,93.91,97%,-0.1%,6.8,13.3,1.1,3.3,3.7,18.0,6.1,2.7,0.9,0.3,1.9,0.0,2
*03e6s*,Clint Capela,ATL,"C,Flx",60,Jmarr237,29,,605,31.84,98%,99.41,98%,-0.1%,4.6,8.1,0.0,1.5,2.4,10.6,10.1,1.1,0.7,1.7,0.8,0.0,8
*05uj9*,Herbert Jones,NO,"SF,PF,F,Flx",71,BIGFOOTS,25,,573,31.83,87%,135.28,93%,-0.9%,4.0,7.8,1.2,2.7,3.1,11.8,4.2,2.8,1.9,1.3,1.7,0.0,0
*03al0*,Aaron Gordon,DEN,"PF,F,Flx",83,STARKS,28,,540,31.76,98%,109.71,98%,-0.3%,5.6,11.4,0.5,1.5,2.9,13.4,7.2,3.8,1.1,0.9,1.8,0.0,4
*03lg1*,Ben Simmons,BKN,"PG,SG,G,PF,F,Flx",268,GBRAYERS,27,,189,31.5,98%,99.39,94%,0%,3.2,6.0,0.0,0.2,0.7,6.5,10.8,6.7,0.5,0.8,2.5,0.0,2
*027pg*,Bojan Bogdanovic,DET,"SF,PF,F,Flx",390,CCC,34,,31,31,91%,128.52,83%,2.2%,7.0,15.0,3.0,5.0,6.0,22.0,2.0,2.0,1.0,0.0,1.0,0.0,0
*051pi*,Daniel Gafford,WAS,"PF,F,C,Flx",89,CCC,25,,527,31,99%,90.08,95%,0.4%,4.2,5.9,0.0,1.5,2.3,9.8,7.6,1.6,0.6,2.1,1.2,0.0,3
*0017e*,Chris Paul,GS,"PG,G,Flx",77,STARKS,38,,556,30.89,99%,87.62,96%,-0.3%,3.2,7.9,1.2,1.4,1.6,8.9,3.6,7.3,1.5,0.1,1.1,0.0,3
*0621b*,Jalen Williams,OKC,"SG,G,SF,PF,F,Flx",103,SDP,22,,492,30.75,100%,64.8,99%,0%,6.5,12.9,1.1,3.5,4.0,17.6,4.1,3.9,0.8,0.3,1.9,0.0,0
*03e74*,Spencer Dinwiddie,BKN,"PG,SG,G,Flx",78,Jmarr237,30,,550,30.56,98%,98.27,97%,1%,4.6,11.3,2.3,3.2,3.9,14.7,4.0,6.3,0.6,0.1,1.7,0.0,2
*05qtr*,Devin Vassell,SA,"SG,G,SF,F,Flx",145,CCC,23,,422,30.14,99%,74.9,99%,0%,6.6,13.3,2.7,2.4,3.1,18.3,3.2,2.7,1.0,0.1,1.5,0.0,0
*03e6u*,Bogdan Bogdanovic,ATL,"SG,G,SF,F,Flx",72,VSL,31,,569,29.95,71%,152.76,89%,0.8%,5.7,12.7,3.1,1.2,1.3,15.7,3.1,2.3,1.5,0.4,1.3,0.0,0
*005kc*,Russell Westbrook,LAC,"PG,G,Flx",74,BBB,35,,565,29.74,99%,102.36,98%,0%,4.7,10.9,0.7,1.8,2.8,12.0,6.6,5.3,1.3,0.3,2.3,0.0,4
*06ccf*,Ausar Thompson,DET,"SF,F,Flx",67,SERP,20,,592,29.6,93%,120.96,98%,-0.2%,4.5,9.7,0.3,1.5,2.1,10.7,9.1,2.6,1.0,1.4,2.1,0.0,2
*01uz7*,Gordon Hayward,CHA,"SG,G,SF,F,Flx",96,Jmarr237,33,,503,29.59,66%,153.61,89%,-0.9%,5.4,12.4,0.9,2.4,3.2,14.0,5.1,4.6,1.2,0.5,1.8,0.0,0
*0015e*,Mike Conley,MIN,"PG,G,Flx",76,maxpat01,36,,558,29.37,90%,128.65,87%,1.5%,3.5,8.1,2.1,1.2,1.3,10.4,2.9,6.2,0.9,0.1,0.9,0.0,2
*06212*,Jabari Smith,HOU,"PF,F,Flx",101,SERP,20,,494,29.06,99%,87.56,98%,0.8%,5.3,10.5,1.7,1.0,1.4,13.3,7.8,1.5,0.6,0.8,1.3,0.0,2
*03nwk*,Kelly Oubre Jr.,PHI,"SG,G,SF,F,Flx",244,CCC,27,,231,28.88,56%,147.53,84%,1.7%,5.9,11.8,1.8,2.8,3.5,16.3,5.1,0.6,1.4,0.4,0.9,0.0,0
