"ID","Player","Team","Position","RkOv","Status","Age","Opponent","FPts","FP/G","%D","ADP","Ros","+/-","FGM","FGA","3PTM","FTM","FTA","PTS","REB","AST","ST","BLK","TO","3D","2D"
"*027ou*","Klay Thompson","GS","SG,G,SF,F,Flx","100","BBB","34","","1432","27.02","100%","84.15","94%","-0.2%","6.0","14.4","3.2","1.8","1.9","17.1","3.5","2.2","0.6","0.5","1.5","0.0","0"
"*051p8*","Jordan Poole","WAS","PG,SG,G,Flx","96","BIGFOOTS","24","","1431","26.02","100%","46.03","95%","+1.1%","5.7","14.3","2.0","2.6","3.0","16.1","2.5","3.7","1.1","0.3","2.2","0.0","1"
"*06cca*","Brandon Miller","CHA","SG,G,SF,PF,F,Flx","106","SDP","21","","1421","27.86","92%","128.71","97%","-0.1%","6.2","14.1","2.3","1.8","2.2","16.5","4.0","2.4","0.9","0.5","1.8","0.0","0"
"*05qtq*","Tre Jones","SA","PG,G,Flx","102","BBB","24","","1419","26.77","92%","113.52","89%","-0.3%","3.8","7.6","0.7","1.4","1.6","9.7","3.2","5.8","1.0","0.1","1.4","0.0","3"
"*03e74*","Spencer Dinwiddie","LAL","PG,SG,G,Flx","109","Jmarr237","30","DEN Sat 5:30PM","1419","26.77","98%","97.96","78%","-4.7%","3.8","10.0","1.8","2.4","3.1","11.8","3.0","5.8","0.8","0.2","1.3","0.0","4"
"*04ex6*","Isaiah Hartenstein","NY","C,Flx","111","CCC","25","","1417","26.74","12%","312.7","80%","-3.5%","2.8","4.5","0.0","1.4","2.0","7.0","8.5","2.1","1.1","1.1","1.2","0.0","6"
"*05qt0*","Saddiq Bey","ATL","SF,PF,F,Flx","105","CCC","24","ATL 102<br/>@BKN 114","1412","25.21","84%","137.02","89%","+0.2%","4.6","10.9","1.8","2.6","3.1","13.6","6.5","1.4","0.9","0.1","0.8","0.0","8"
"*05uih*","Jonathan Kuminga","GS","PF,F,C,Flx","95","Orcas","21","","1408","25.6","63%","146.37","91%","-2.5%","5.8","11.0","0.7","3.0","4.2","15.3","4.7","2.0","0.7","0.5","1.6","0.0","3"
"*051oj*","RJ Barrett","TOR","SG,G,SF,F,Flx","104","HBC","23","","1403","29.85","91%","118.63","97%","-0.2%","7.0","14.7","1.6","3.5","4.8","19.1","5.3","3.0","0.5","0.4","1.9","0.0","1"
"*05qtt*","Onyeka Okongwu","ATL","C,Flx","120","CCC","23","ATL 102<br/>@BKN 114","1383","26.09","96%","97","90%","-2.2%","4.0","6.6","0.4","1.7","2.2","10.2","7.0","1.3","0.4","1.1","0.8","0.0","8"
"*042nt*","Ivica Zubac","LAC","C,Flx","124","GBRAYERS","26","","1376","29.91","91%","123.45","94%","+0.2%","5.1","7.8","0.0","1.7","2.6","12.0","9.5","1.3","0.2","1.3","1.2","0.0","16"
"*05uj1*","Cameron Thomas","BKN","SG,G,SF,F,Flx","123","Orcas","22","ATL 102<br/>@BKN 114","1376","28.67","24%","190.77","86%","-3.4%","7.5","17.3","2.0","3.8","4.5","20.9","2.9","2.7","0.8","0.3","1.8","0.0","0"
"*04ewu*","Josh Hart","NY","SG,G,SF,F,Flx","108","BBB","28","","1371","24.05","94%","117.22","92%","+1.6%","3.2","7.5","1.0","1.0","1.2","8.4","7.2","3.3","0.8","0.3","1.3","0.0","10"
"*0496e*","Alex Caruso","CHI","PG,SG,G,Flx","113","SDP","30","","1366","27.88","35%","168.51","79%","-1.2%","3.5","7.3","1.7","1.2","1.5","9.9","3.8","2.9","1.4","1.1","1.4","0.0","1"
"*05uif*","Jalen Suggs","ORL","PG,SG,G,Flx","115","$C/$","22","","1356","25.58","42%","167.53","80%","-2%","4.4","9.8","2.0","1.4","1.9","12.3","3.2","2.5","1.4","0.6","1.9","0.0","0"
